timestamp_us,angle_counts,magnet_ok
7781804,2297,1
7785528,2281,1
7789252,2265,1
7792976,2250,1
7796684,2235,1
7800408,2219,1
7804132,2203,1
7807844,2187,1
7811568,2173,1
7815292,2156,1
7819000,2138,1
7822724,2120,1
7826440,2104,1
7830164,2085,1
7833888,2067,1
7837596,2049,1
7841320,2030,1
7845044,2010,1
7848752,1990,1
7852476,1971,1
7856200,1949,1
7859908,1927,1
7863632,1908,1
7867340,1887,1
7871064,1868,1
7874788,1846,1
7878500,1826,1
7882224,1804,1
7885948,1782,1
7889660,1763,1
7893384,1742,1
7897100,1720,1
7900824,1698,1
7904548,1676,1
7908260,1653,1
7911984,1630,1
7915708,1607,1
7919416,1585,1
7923140,1559,1
7926864,1528,1
7930572,1509,1
7934296,1484,1
7938008,1460,1
7941732,1438,1
7945456,1415,1
7949164,1392,1
7952888,1367,1
7956612,1344,1
7960324,1319,1
7964048,1294,1
7967772,1265,1
7971496,1235,1
7975220,1208,1
7978932,1181,1
7982656,1151,1
7986380,1123,1
7990092,1095,1
7993816,1067,1
7997540,1036,1
8001252,1001,1
8004976,972,1
8008688,941,1
8012404,905,1
8016120,873,1
8019832,841,1
8023548,806,1
8027264,773,1
8030972,734,1
8034688,696,1
8038404,661,1
8042120,622,1
8045836,581,1
8049548,541,1
8053264,500,1
8056980,458,1
8060692,415,1
8064408,368,1
8068124,327,1
8071840,284,1
8075556,239,1
8079268,197,1
8082984,161,1
8086704,122,1
8090412,84,1
8094128,46,1
8097844,4,1
8101556,4059,1
8105280,4021,1
8108988,3984,1
8112712,3943,1
8116436,3908,1
8120144,3869,1
8123868,3830,1
8127592,3793,1
8131300,3755,1
8135024,3719,1
8138736,3681,1
8142460,3646,1
8146184,3610,1
8149892,3573,1
8153616,3537,1
8157340,3498,1
8161052,3456,1
8164776,3421,1
8168500,3381,1
8172224,3346,1
8175948,3312,1
8179660,3276,1
8183384,3241,1
8187108,3205,1
8190820,3168,1
8194544,3132,1
8198272,3095,1
8201984,3061,1
8205708,3024,1
8209424,2988,1
8213148,2951,1
8216872,2914,1
8220580,2877,1
8224304,2843,1
8228028,2808,1
8231736,2777,1
8235460,2745,1
8239184,2712,1
8242896,2678,1
8246620,2642,1
8250332,2605,1
8254056,2567,1
8257780,2529,1
